image,ground_truth,prediction,CER_score
test075_1,G9173BP,G9173BP,0.0
test075_2,7066OF,71600DFP,0.8333
test076_0,G2151ASF,62151ASF0729,0.625
test076_1,E500MA,E500MA,0.0
test076_2,G4689SN,G4809SN,0.2857
test077_0,G1754QZ,G1754OZ,0.1429
test078_0,H1413DH,H1413DH,0.0
test079_0,T1688GY,1688GY,0.1429
test079_1,A1260AJ,A1260AJ,0.0
test080_0,D77HSB,D77HSB,0.0
test080_1,B1861TOI,B1861T01,0.25
test080_2,D1160ADE,D1160ADE,0.0
test081_0,F8097BD,F8097BD,0.0
test081_1,F1992AM,F1992HW,0.2857
test082_0,E1824YZ,E1824YZ,0.0
test082_1,B9093UEX,B9093UEX,0.0
test083_0,F5052AAE,F5052AAE,0.0
test083_1,F5452CQ,5452CO1023,0.8571
test084_0,B1158PYP,B1158PYP,0.0
test084_1,B1242VOY,B1242VOY,0.0
test085_0,B1315KIF,B1315KIF,0.0
test085_1,B2938FVJ,B2938FVJ,0.0
test085_2,B2560SKZ,B2560SKZ,0.0
test086_0,B1291NOJ,B1291NOJ,0.0
test086_1,B1556NRC,B1556NRC,0.0
test087_0,B6823WXR,B6823WXR,0.0
test087_1,B6317NXK,B6317NXK,0.0
test087_2,F2215FCQ,F2215FCO,0.125
test087_3,4039NHR,4039NHR0724,0.5714
test088_0,B2190TYB,B2190TYB,0.0
test088_1,B1902VKA,B1902VKA,0.0
test089_0,D8609N,8609,0.3333
test089_1,A8406ZE,A8406ZE,0.0
test089_2,B1246KRK,B1246KRK,0.0
test090_0,T9314E,T9314E,0.0
test090_1,N9579U,N9579,0.1667
test091_0,B2910KZW,B2910KZW,0.0
test091_1,B9721KXV,B9721KXV,0.0
test092_0,B1104AAA,B1104AAA,0.0
test092_1,T1579FN,1579FN,0.1429
test092_2,B2346POC,B2346POC,0.0
test093_0,B2026BIU,B2026BUY,0.25
test094_0,G1255EJ,G1255EJ,0.0
test095_0,B1201KAD,B1201KAD,0.0
test095_1,B2310JUK,B2310JUK,0.0
test095_2,B28YHH,B28YHH,0.0
test096_0,B1354COJ,B1354COJ,0.0
test096_1,B1502NRO,B1502NRO,0.0
test097_0,B1650NOG,B1650NOG,0.0
test097_1,B6354SVL,6354SVL0225,0.625
test098_0,B1779DOB,B1779DOB,0.0
test099_0,B2017PBQ,B2017PBO,0.125
test099_1,B1892WZT,B1892WZT,0.0
test100_0,B1071PRG,B1071PRG,0.0
test100_1,B2134PZJ,82134PZJ,0.125
