image,ground_truth,prediction,raw_output,CER_score
test095_2,B2310JUK,B2310JUK,B2310JUK,0.0
test095_3,B28YHH,B28YHH,B28YHH,0.0
test096_1,B1354COJ,B1354COJ,B1354COJ,0.0
test096_2,B1502NRO,B1502NRO,B1502NRO,0.0
test097_1,B1650NOG,B1650N,B1650N0G,0.25
test097_2,B6354SVL,VL0225,6354SVL02-25,1.0
test098_1,B1779DOB,B1779DOB,B1779DOB,0.0
test099_1,B2017PBQ,B2017PBQ,B2017PBQ,0.0
test099_2,B1892WZT,B1892WZT,B1892WZT,0.0
test100_1,B1071PRG,B1071PRG,B1071PRG,0.0
test100_2,B2134PZJ,B2134PZJ,B2134PZJ,0.0
